Palavra;Divisão silábica
a;a
á-bê-cê;á-bê-cê
á-é-i-ó-u;á-é-i-ó-u
a-pedido;a-pe-di-do
a-propósito;a-pro-pó-si-to
a-tempo;a-tem-po
à-toa;à-to-a
à-toinha;à-to-i-nha
à-vontade;à-von-ta-de
aa;a-a
aabora;a-a-bo-ra
aacheniano;aa-che-ni-a-no
aal;a-al
aaleniano;a-a-le-ni-a-no
aaleniense;aa-le-ni-en-se
aalênio;a-a-lê-ni-o
aalénio;a-a-lé-ni-o
aarônico;a-a-rô-ni-co
aarónico;a-a-ró-ni-co
aarônida;a-a-rô-ni-da
aarónida;a-a-ró-ni-da
aaronita;a-a-ro-ni-ta
ab-reação;ab-re-a-ção
ab-reativo;ab-re-a-ti-vo
ab-repticiamente;ab-rep-ti-ci-a-men-te
ab-reptício;ab-rep-tí-ci-o
ab-rogação;ab-ro-ga-ção
ab-rogado;ab-ro-ga-do
ab-rogador;ab-ro-ga-dor
ab-rogamento;ab-ro-ga-men-to
ab-rogante;ab-ro-gan-te
ab-rogar;ab-ro-gar
ab-rogativo;ab-ro-ga-ti-vo
ab-rogatório;ab-ro-ga-tó-ri-o
ab-rogável;ab-ro-gá-vel
aba;a-ba
ababá;a-ba-bá
ababalhado;a-ba-ba-lha-do
ababalhar;a-ba-ba-lhar
ababelado;a-ba-be-la-do
ababelar;a-ba-be-lar
ababosado;a-ba-bo-sa-do
ababosar;a-ba-bo-sar
abacá;a-ba-cá
abacalhoadamente;a-ba-ca-lho-a-da-men-te
abacalhoado;a-ba-ca-lho-a-do
abacalhoar;a-ba-ca-lho-ar
abacamartado;a-ba-ca-mar-ta-do
abaçanado;a-ba-ça-na-do
abaçanar;a-ba-ça-nar
abacanto;a-ba-can-to
abacate;a-ba-ca-te
abacateira;a-ba-ca-tei-ra
abacateiro;a-ba-ca-tei-ro
abacaxi;a-ba-ca-xi
abacelado;a-ba-ce-la-do
abacelamento;a-ba-ce-la-men-to
abacelar;a-ba-ce-lar
abacelável;a-ba-ce-lá-vel
abacenino;a-ba-ce-ni-no
abacense;a-ba-cen-se
abacharelado;a-ba-cha-re-la-do
abacharelar;a-ba-cha-re-lar
abacial;a-ba-ci-al
abacinado;a-ba-ci-na-do
abacinamento;a-ba-ci-na-men-to
abacinar;a-ba-ci-nar
abacisco;a-ba-cis-co
abacista;a-ba-cis-ta
ábaco;á-ba-co
abacomitato;a-ba-co-mi-ta-to
abacómite;a-ba-có-mi-te
abacômite;a-ba-cô-mi-te
abacto;a-bac-to
abactor;a-bac-tor
abáculo;a-bá-cu-lo
abada;a-ba-da
abadado;a-ba-da-do
abadágio;a-ba-dá-gi-o
abadalado;a-ba-da-la-do
abadalar;a-ba-da-lar
abadalhocado;a-ba-da-lho-ca-do
abadanado;a-ba-da-na-do
abadanar;a-ba-da-nar
abadar;a-ba-dar
abade;a-ba-de
abade-geral;a-ba-de-ge-ral
abadecida;a-ba-de-ci-da
abadecídio;a-ba-de-cí-di-o
abadejo;a-ba-de-jo
abadengo;a-ba-den-go
abadense;a-ba-den-se
abaderna;a-ba-der-na
abadernar;a-ba-der-nar
abadesco;a-ba-des-co
abadessa;a-ba-des-sa
abadessado;a-ba-des-sa-do
abadessão;a-ba-des-são
abadessar;a-ba-des-sar
abadia;a-ba-di-a
abadiado;a-ba-di-a-do
abadiar;a-ba-di-ar
abádida;a-bá-di-da
abadinense;a-ba-di-nen-se
abadir;a-ba-dir
abado;a-ba-do
abaetado;a-ba-e-ta-do
abaetar;a-ba-e-tar
abaetê;a-ba-e-tê
abaeteense;a-ba-e-te-en-se
abafa;a-ba-fa
abafação;a-ba-fa-ção
abafadamente;a-ba-fa-da-men-te
abafadela;a-ba-fa-de-la
abafadiço;a-ba-fa-di-ço
abafado;a-ba-fa-do
abafador;a-ba-fa-dor
abafadora;a-ba-fa-do-ra
abafadouro;a-ba-fa-dou-ro
abafadura;a-ba-fa-du-ra
abafamento;a-ba-fa-men-to
abafante;a-ba-fan-te
abafar;a-ba-far
abafarete;a-ba-fa-re-te
abafas;a-ba-fas
abafável;a-ba-fá-vel
abafeira;a-ba-fei-ra
abafeiro;a-ba-fei-ro
abafo;a-ba-fo
abagaçar;a-ba-ga-çar
abaganhado;a-ba-ga-nha-do
abaganhar;a-ba-ga-nhar
abagoar;a-ba-go-ar
abagualado;a-ba-gua-la-do
abaguim;a-ba-guim
abagulhado;a-ba-gu-lha-do
abagum;a-ba-gum
abaianado;a-bai-a-na-do
abaíba;a-ba-í-ba
abainhado;a-ba-i-nha-do
abainhar;a-ba-i-nhar
abaionetado;a-bai-o-ne-ta-do
abaionetar;a-bai-o-ne-tar
abairrado;a-bair-ra-do
abairramento;a-bair-ra-men-to
abairrar;a-bair-rar
abaisir;a-bai-sir
abaiucado;a-bai-u-ca-do
abaiucar;a-bai-u-car
abaixa;a-bai-xa
abaixa-língua;a-bai-xa-lín-gua
abaixa-luz;a-bai-xa-luz
abaixa-pálpebra;a-bai-xa-pál-pe-bra
abaixa-voz;a-bai-xa-voz
abaixadela;a-bai-xa-de-la
abaixado;a-bai-xa-do
abaixador;a-bai-xa-dor
abaixadura;a-ba-i-xa-du-ra
abaixamento;a-bai-xa-men-to
abaixante;a-bai-xan-te
abaixar;a-bai-xar
abaixável;a-bai-xá-vel
abaixo;a-bai-xo
abaixo-assinado;a-bai-xo-as-si-na-do
abajeru;a-ba-je-ru
abajoujado;a-ba-jou-ja-do
abajoujamento;a-ba-jou-ja-men-to
abajoujar;a-ba-jou-jar
abajur;a-ba-jur
abalada;a-ba-la-da
abaladela;a-ba-la-de-la
abaladiço;a-ba-la-di-ço
abalado;a-ba-la-do
abalador;a-ba-la-dor
abaladura;a-ba-la-du-ra
abalaiado;a-ba-lai-a-do
abalamento;a-ba-la-men-to
abalançado;a-ba-lan-ça-do
abalançamento;a-ba-lan-ça-men-to
abalançar;a-ba-lan-çar
abalar;a-ba-lar
abalaustrado;a-ba-la-us-tra-do
abalaustramento;a-ba-la-us-tra-men-to
abalaustrar;a-ba-la-us-trar
abalaustrável;a-ba-laus-trá-vel
abalável;a-ba-lá-vel
abalçado;a-bal-ça-do
abalçar;a-bal-çar
abaliedade;a-ba-li-e-da-de
abalienação;a-ba-li-e-na-ção
abalienado;a-ba-li-e-na-do
abalienar;a-ba-li-e-nar
abalienável;a-ba-li-e-ná-vel
abalistado;a-ba-lis-ta-do
abalistar;a-ba-lis-tar
abalizadamente;a-ba-li-za-da-men-te
abalizado;a-ba-li-za-do
abalizador;a-ba-li-za-dor
abalizamento;a-ba-li-za-men-to
abalizante;a-ba-li-zan-te
abalizar;a-ba-li-zar
abalo;a-ba-lo
abaloado;a-ba-lo-a-do
abaloamento;a-ba-lo-a-men-to
abaloar;a-ba-lo-ar
abalofado;a-ba-lo-fa-do
abalofar;a-ba-lo-far
abalona;a-ba-lo-na
abalonado;a-ba-lo-na-do
abalonamento;a-ba-lo-na-men-to
abalonar;a-ba-lo-nar
abalone;a-ba-lo-ne
abaloso;a-ba-lo-so
abalroa;a-bal-ro-a
abalroação;a-bal-ro-a-ção
abalroada;a-bal-ro-a-da
abalroadela;a-bal-ro-a-de-la
abalroado;a-bal-ro-a-do
abalroador;a-bal-ro-a-dor
abalroadora;a-bal-ro-a-do-ra
abalroamento;a-bal-ro-a-men-to
abalroante;a-bal-ro-an-te
abalroar;a-bal-ro-ar
abalroável;a-bal-ro-á-vel
abalsado;a-bal-sa-do
abalsamado;a-bal-sa-ma-do
abalsamar;a-bal-sa-mar
abalsar;a-bal-sar
abalseirar;a-bal-sei-rar
abaluartado;a-ba-lu-ar-ta-do
abaluartamento;a-ba-lu-ar-ta-men-to
abaluartar;a-ba-lu-ar-tar
abalumar;a-ba-lu-mar
abama;a-ba-ma
abambalhado;a-bam-ba-lha-do
abambolinado;a-bam-bo-li-na-do
abambolinar;a-bam-bo-li-nar
abambresense;a-bam-bre-sen-se
abâmea;a-bâ-me-a
abana-mosca;a-ba-na-mos-ca
abanação;a-ba-na-ção
abanadela;a-ba-na-de-la
abanado;a-ba-na-do
abanador;a-ba-na-dor
abanadura;a-ba-na-du-ra
abanamento;a-ba-na-men-to
abananado;a-ba-na-na-do
abananar;a-ba-na-nar
abanante;a-ba-nan-te
abanão;a-ba-não
abanar;a-ba-nar
abanável;a-ba-ná-vel
abancado;a-ban-ca-do
abancar;a-ban-car
abâncio;a-bân-ci-o
abandado;a-ban-da-do
abandalhação;a-ban-da-lha-ção
abandalhadamente;a-ban-da-lha-da-men-te
abandalhado;a-ban-da-lha-do
abandalhador;a-ban-da-lha-dor
abandalhamento;a-ban-da-lha-men-to
abandalhar;a-ban-da-lhar
abandalhável;a-ban-da-lhá-vel
abandar;a-ban-dar
abandeado;a-ban-de-a-do
abandear;a-ban-de-ar
abandeiramento;a-ban-dei-ra-men-to
abandeirar;a-ban-dei-rar
abandejado;a-ban-de-ja-do
abandejar;a-ban-de-jar
abandejo;a-ban-de-jo
abandião;a-ban-di-ão
abandidado;a-ban-di-da-do
abandidar;a-ban-di-dar
abandoado;a-ban-do-a-do
abandoador;a-ban-do-a-dor
abandoar;a-ban-do-ar
abandolinado;a-ban-do-li-na-do
abandolinar;a-ban-do-li-nar
abandonada;a-ban-do-na-da
abandonadamente;a-ban-do-na-da-men-te
abandonado;a-ban-do-na-do
abandonador;a-ban-do-na-dor
abandonamento;a-ban-do-na-men-to
abandonante;a-ban-do-nan-te
abandonar;a-ban-do-nar
abandonatário;a-ban-do-na-tá-ri-o
abandonável;a-ban-do-ná-vel
abandono;a-ban-do-no
abanga;a-ban-ga
